sekermiktari,yas,cinsiyet,sinirlilik
21.946,8.987,0,0.456
5.122,1.689,0,0.250
13.866,8.209,1,0.460
15.684,14.517,1,0.879
22.765,5.122,1,0.650
10.925,6.115,1,0.453
11.423,9.811,0,0.584
1.423,2.017,1,0.466
1.979,6.894,0,0.082
2.190,12.896,1,0.650
8.385,13.495,0,0.456
12.785,4.270,0,0.401
26.819,1.394,0,0.650
15.836,10.478,1,0.867
29.276,10.421,1,0.867
20.247,4.569,0,0.540
15.210,5.572,1,0.465
0.825,11.756,0,0.466
24.597,12.334,1,0.881
13.671,13.270,0,0.650
19.800,7.767,0,0.429
6.752,1.631,1,0.459
16.368,3.087,0,0.465
13.393,2.466,0,0.465
26.066,11.207,0,0.875
6.772,2.659,0,0.250
8.224,11.548,1,0.650
29.868,2.355,1,0.883
22.403,13.222,1,0.872
19.399,6.707,0,0.379
15.937,5.813,0,0.250
19.120,4.422,0,0.444
5.142,3.230,0,0.250
0.823,13.584,0,0.466
12.726,15.496,0,0.650
18.196,14.221,0,0.665
27.733,10.167,0,0.864
4.562,7.501,1,0.250
19.392,6.582,0,0.378
13.459,1.811,1,0.650
3.258,14.560,1,0.650
1.006,1.806,0,0.250
16.732,4.095,1,0.630
15.002,8.787,0,0.250
19.534,0.860,1,0.800
5.376,3.919,0,0.250
9.714,6.418,1,0.352
28.898,2.694,0,0.650
14.559,1.227,0,0.466
23.382,7.106,0,0.465
17.670,12.157,1,0.866
15.266,2.813,0,0.467
4.567,11.996,0,0.463
6.334,2.358,1,0.460
23.415,3.163,1,0.876
15.081,9.745,1,0.773
1.492,8.465,1,0.250
18.373,4.032,0,0.475
8.455,15.006,0,0.456
21.745,13.817,0,0.869
29.841,14.149,0,0.883
21.973,2.268,0,0.650
0.779,8.355,1,0.250
20.333,2.431,1,0.862
4.852,1.674,1,0.462
2.769,5.798,0,0.082
21.325,7.326,0,0.461
17.189,11.530,0,0.650
13.733,6.297,0,0.250
2.509,8.429,0,0.090
23.036,7.816,0,0.462
25.521,14.166,1,0.883
15.920,8.468,0,0.250
20.480,7.893,1,0.650
10.990,4.622,0,0.328
17.662,1.738,0,0.461
16.869,1.789,1,0.650
7.694,9.206,0,0.218
9.910,7.257,0,0.210
16.635,4.050,0,0.449
24.948,0.398,0,0.650
17.713,9.528,0,0.486
18.335,3.643,1,0.676
17.238,3.508,0,0.462
13.797,0.648,1,0.650
28.896,4.341,0,0.582
11.799,3.401,1,0.650
19.527,10.205,1,0.858
10.991,13.701,0,0.650
10.540,7.508,1,0.428
15.903,9.567,1,0.710
3.737,7.444,1,0.250
0.207,6.200,0,0.078
22.780,11.610,0,0.874
17.516,8.840,0,0.250
19.503,13.604,0,0.796
2.148,15.824,1,0.650
4.810,8.195,0,0.089
17.301,9.692,1,0.755
21.764,11.745,1,0.869
22.508,13.608,1,0.872
18.023,9.896,1,0.825
21.200,15.042,1,0.866
19.895,5.678,0,0.442
2.901,0.237,1,0.465
0.040,12.697,1,0.650
24.557,13.838,0,0.881
23.083,4.491,1,0.761
7.137,15.938,0,0.458
29.304,3.050,1,0.882
20.557,10.625,0,0.863
27.348,3.879,0,0.650
26.221,8.434,1,0.650
10.247,14.446,1,0.810
0.238,14.625,1,0.650
25.343,14.716,1,0.883
15.925,7.999,0,0.250
20.218,14.145,0,0.861
3.138,1.211,0,0.250
17.402,12.774,0,0.650
2.542,2.796,0,0.250
15.759,2.863,0,0.466
4.898,2.223,0,0.250
18.298,3.468,1,0.673
1.294,7.238,0,0.084
8.931,11.490,1,0.650
17.809,10.897,1,0.866
1.907,0.124,0,0.250
5.618,11.364,0,0.461
0.766,15.791,0,0.467
25.083,6.147,0,0.467
12.044,9.206,1,0.564
10.857,14.592,0,0.642
27.198,14.063,0,0.883
4.966,11.559,1,0.650
10.032,7.793,1,0.387
6.568,7.369,0,0.090
11.772,10.923,0,0.650
22.761,11.116,0,0.874
14.288,7.501,0,0.250
15.330,6.234,1,0.467
14.896,12.760,1,0.883
1.382,8.931,1,0.250
6.965,2.244,0,0.250
12.171,12.700,1,0.869
2.255,12.440,0,0.466
3.561,0.928,0,0.250
13.400,9.182,1,0.552
6.366,15.763,1,0.650
18.423,3.137,1,0.683
13.842,9.574,0,0.503
28.995,4.737,1,0.707
21.695,5.330,1,0.650
8.596,9.618,1,0.518
8.745,11.796,1,0.650
0.910,3.685,0,0.250
2.069,7.439,1,0.250
2.188,3.091,0,0.250
9.942,12.589,1,0.781
0.396,3.256,0,0.250
28.137,14.035,1,0.883
21.859,7.153,1,0.650
14.206,12.502,0,0.650
21.175,7.500,1,0.650
7.584,10.672,1,0.650
18.010,9.178,1,0.551
24.551,10.109,0,0.863
26.468,8.585,1,0.650
24.842,3.581,0,0.650
9.130,12.490,1,0.671
9.211,9.213,0,0.289
7.259,13.279,0,0.458
6.158,4.017,1,0.456
7.501,12.040,0,0.457
6.551,9.306,1,0.402
28.229,15.822,1,0.883
6.974,5.858,0,0.091
27.030,9.434,0,0.660
7.853,13.722,1,0.650
10.503,5.277,0,0.237
2.563,15.537,0,0.465
17.459,12.684,0,0.650
22.466,1.863,0,0.650
17.539,2.042,0,0.461
9.247,13.315,0,0.492
28.522,5.866,1,0.650
7.465,7.371,1,0.250
26.935,3.456,0,0.650
5.686,5.446,0,0.088
27.939,1.106,1,0.883
11.557,4.566,0,0.340
16.956,6.675,0,0.250
26.701,4.320,1,0.798
22.385,8.372,0,0.459
20.396,2.825,0,0.650
6.500,9.727,1,0.556
10.418,12.557,1,0.824
16.984,13.043,1,0.871
0.860,8.856,0,0.093
6.302,11.594,1,0.650
4.160,11.942,0,0.463
12.636,4.136,1,0.621
28.670,8.350,0,0.459
1.136,11.429,1,0.650
10.790,2.096,0,0.445
5.031,13.360,0,0.462
28.477,11.907,1,0.882
17.784,10.754,0,0.650
22.203,9.961,0,0.848
2.804,0.442,1,0.465
5.122,14.179,0,0.462
14.916,1.288,1,0.650
26.508,9.057,0,0.488
25.701,1.909,1,0.883
19.204,8.981,1,0.556
13.581,14.670,0,0.650
23.241,4.744,0,0.509
27.239,12.658,0,0.883
19.552,8.032,1,0.594
13.900,3.772,1,0.650
23.712,0.325,1,0.878
28.051,15.388,1,0.883
28.278,10.526,0,0.868
24.061,12.846,0,0.879
0.371,8.944,0,0.093
18.631,2.588,0,0.504
24.425,14.763,0,0.881
4.925,2.833,0,0.250
27.878,4.404,0,0.571
18.474,7.055,1,0.492
16.679,7.680,1,0.463
21.221,13.726,1,0.866
24.274,12.832,0,0.880
27.580,6.590,0,0.466
21.448,3.610,1,0.867
21.339,5.738,1,0.650
12.319,15.616,1,0.869
8.186,12.880,0,0.456
25.018,2.545,0,0.650
20.559,4.566,1,0.744
29.425,13.363,1,0.883
26.411,0.881,0,0.650
18.205,15.451,1,0.863
19.645,3.791,1,0.814
29.724,2.271,1,0.883
4.662,6.010,1,0.250
2.538,8.812,1,0.250
15.423,15.068,1,0.881
0.314,9.949,1,0.632
25.496,5.960,0,0.467
22.752,15.914,1,0.873
4.205,15.386,0,0.463
26.570,11.345,1,0.877
2.575,1.154,0,0.250
13.240,1.999,1,0.650
0.846,4.474,0,0.195
21.287,13.192,0,0.867
16.032,13.088,0,0.650
23.749,10.166,0,0.864
17.451,7.998,1,0.461
11.112,1.797,1,0.650
11.565,8.806,0,0.250
22.526,12.783,0,0.872
19.086,6.219,1,0.544
29.888,10.703,1,0.870
8.700,11.304,1,0.650
24.320,5.645,1,0.650
0.614,5.342,0,0.084
24.924,14.737,0,0.883
4.722,3.945,0,0.250
25.084,15.614,0,0.883
26.458,9.145,0,0.534
23.392,4.433,1,0.774
12.690,15.444,1,0.871
19.414,15.950,0,0.785
14.694,14.065,1,0.882
15.700,1.221,0,0.466
2.828,5.139,0,0.086
28.031,15.982,0,0.883
10.600,13.645,0,0.627
1.367,4.774,0,0.139
24.397,0.160,0,0.650
18.873,14.563,1,0.858
23.270,14.995,1,0.876
5.182,5.558,1,0.250
5.335,9.762,0,0.402
2.516,15.431,1,0.650
19.066,7.013,0,0.341
3.772,6.028,0,0.084
9.570,15.955,1,0.736
11.905,11.033,0,0.650
27.893,13.100,1,0.883
20.693,3.537,1,0.864
29.585,3.248,0,0.650
22.138,5.608,0,0.463
24.072,6.664,1,0.650
24.122,11.663,1,0.879
6.870,12.750,0,0.459
12.974,2.694,0,0.464
23.024,3.943,1,0.869
21.753,9.129,0,0.526
25.092,3.133,1,0.881
27.632,3.340,1,0.878
4.362,14.782,0,0.463
10.813,14.092,0,0.640
14.633,0.534,0,0.467
4.452,3.949,0,0.250
10.995,12.585,0,0.650
14.794,1.742,1,0.650
19.607,7.850,1,0.601
24.274,11.933,0,0.880
13.428,9.326,1,0.616
26.584,6.559,0,0.466
16.203,7.151,0,0.250
17.612,8.619,1,0.458
8.103,5.501,1,0.250
8.834,13.203,0,0.455
8.370,4.042,1,0.440
21.439,15.592,1,0.867
3.876,4.242,0,0.225
6.526,6.038,0,0.090
12.420,10.288,1,0.865
0.699,6.766,0,0.081
20.783,3.224,1,0.864
13.371,5.241,1,0.463
27.242,12.412,0,0.883
2.620,12.070,0,0.465
0.362,2.100,0,0.250
18.825,15.862,0,0.719
2.764,0.275,0,0.250
0.969,15.916,1,0.650
15.851,3.091,1,0.650
26.510,4.278,1,0.807
14.454,0.877,1,0.650
9.067,15.340,0,0.465
8.425,7.276,1,0.250
29.714,15.153,0,0.883
9.270,4.267,1,0.399
26.602,9.495,0,0.683
11.023,13.570,0,0.650
16.596,12.963,1,0.874
4.398,5.101,1,0.250
20.972,11.311,0,0.865
13.595,15.172,1,0.876
14.777,12.942,1,0.882
19.623,6.966,0,0.406
14.405,0.799,0,0.466
1.301,12.317,1,0.650
24.242,6.914,1,0.650
10.253,2.198,1,0.603
16.825,9.288,1,0.600
24.410,2.895,0,0.650
2.900,12.179,0,0.465
7.832,13.984,0,0.457
10.148,8.734,1,0.397
13.438,1.249,0,0.465
13.794,2.759,0,0.466
20.372,7.701,0,0.458
14.230,8.096,0,0.250
24.392,3.158,0,0.650
26.710,0.696,0,0.650
12.525,13.525,0,0.650
20.231,0.037,0,0.650
14.442,7.537,0,0.250
23.761,13.599,1,0.878
16.045,4.638,1,0.528
24.039,8.491,0,0.459
11.680,10.097,1,0.863
4.378,6.480,0,0.086
4.303,12.029,0,0.463
26.192,3.625,0,0.650
1.084,5.593,0,0.081
24.748,10.636,0,0.869
5.771,10.826,1,0.650
24.190,0.667,0,0.650
0.814,7.064,1,0.250
12.073,15.460,1,0.868
4.599,1.983,0,0.250
7.310,10.200,0,0.458
25.483,7.754,0,0.462
10.838,0.747,1,0.641
13.272,14.258,0,0.650
10.097,1.390,0,0.393
19.159,14.364,0,0.755
4.260,15.340,1,0.650
19.255,9.075,0,0.411
11.216,4.156,0,0.421
27.226,14.488,0,0.883
26.188,9.401,0,0.647
23.311,8.737,0,0.457
24.826,5.487,1,0.650
0.656,9.280,0,0.251
20.338,14.830,1,0.862
0.417,13.425,0,0.467
28.061,13.306,0,0.883
24.981,0.633,0,0.650
2.941,6.371,0,0.083
20.917,6.648,1,0.650
24.637,15.119,0,0.882
21.953,15.622,1,0.870
20.882,1.958,1,0.865
0.478,1.602,0,0.250
10.332,4.910,0,0.263
10.293,10.259,0,0.606
9.231,4.265,0,0.236
5.774,5.065,0,0.088
3.737,13.468,1,0.650
20.529,11.447,0,0.863
14.936,15.980,0,0.650
21.584,2.687,0,0.650
7.898,11.916,1,0.650
13.149,11.452,0,0.650
17.258,9.012,0,0.257
4.476,3.108,0,0.250
6.300,9.176,0,0.203
21.161,9.457,0,0.669
11.438,14.719,1,0.864
13.712,4.638,0,0.325
16.304,9.290,1,0.601
12.999,7.395,0,0.250
0.989,14.977,0,0.466
8.876,8.775,0,0.095
13.945,6.082,1,0.466
16.063,4.990,1,0.463
22.931,7.015,1,0.650
3.477,8.726,1,0.250
25.675,8.765,0,0.457
10.186,3.809,1,0.598
1.081,7.475,1,0.250
9.052,12.213,0,0.463
12.983,5.491,0,0.250
15.074,5.420,1,0.464
18.211,12.273,0,0.666
4.698,7.847,1,0.250
27.925,1.298,1,0.883
11.219,10.937,0,0.650
11.105,2.051,1,0.650
24.347,11.658,0,0.880
7.707,13.419,0,0.457
5.671,4.137,0,0.237
12.521,5.930,1,0.463
10.310,0.996,1,0.607
1.182,13.959,1,0.650
16.969,6.889,0,0.250
4.051,0.929,1,0.463
15.598,6.067,0,0.250
4.021,14.980,1,0.650
27.997,14.218,1,0.883
19.262,15.014,1,0.856
13.406,1.257,0,0.465
2.527,5.938,1,0.250
15.705,4.331,0,0.388
21.449,6.646,0,0.461
25.968,6.681,1,0.650
21.547,8.241,0,0.460
27.851,11.238,0,0.876
16.016,5.741,0,0.250
3.150,14.113,0,0.465
13.258,6.831,0,0.250
12.938,4.108,0,0.436
9.241,4.955,1,0.320
16.832,8.577,1,0.458
2.225,12.626,0,0.466
0.398,3.609,1,0.464
19.956,11.505,0,0.854
18.882,12.956,0,0.725
14.950,15.277,0,0.650
7.222,15.564,1,0.650
24.720,9.655,1,0.803
28.861,14.501,1,0.883
29.161,10.108,0,0.863
29.477,12.191,0,0.883
3.369,12.347,0,0.464
23.050,3.152,1,0.875
19.560,7.500,0,0.398
25.507,1.944,1,0.883
17.588,3.082,0,0.461
6.836,9.038,1,0.272
1.207,9.161,1,0.337
11.582,2.818,1,0.650
29.178,12.416,1,0.883
10.575,9.058,1,0.465
12.760,9.266,0,0.385
23.195,10.398,1,0.866
5.197,11.585,0,0.462
9.793,9.461,1,0.566
16.395,9.636,0,0.524
10.051,7.795,0,0.218
8.919,1.683,1,0.455
8.929,7.872,0,0.095
6.554,1.195,1,0.459
12.847,13.775,0,0.650
27.651,9.382,0,0.639
5.884,10.355,1,0.650
10.927,15.416,1,0.858
23.629,11.273,0,0.876
21.613,8.538,0,0.458
19.565,6.261,1,0.596
5.023,0.345,1,0.462
21.459,5.504,0,0.461
2.378,6.763,1,0.250
23.769,8.366,0,0.459
29.962,14.945,0,0.883
4.360,10.836,0,0.463
1.434,10.735,0,0.462
7.372,2.174,0,0.250
15.785,6.422,0,0.250
29.366,1.521,0,0.650
10.192,5.696,0,0.225
9.501,13.217,1,0.727
11.877,3.380,0,0.461
22.771,11.497,1,0.874
24.960,9.432,1,0.756
0.587,15.299,0,0.467
29.454,2.928,1,0.883
24.186,14.327,1,0.880
15.755,9.461,0,0.462
19.696,13.372,1,0.859
19.089,14.360,1,0.856
3.514,6.720,0,0.084
15.082,4.968,0,0.257
8.973,9.129,0,0.189
9.966,6.021,1,0.380
10.734,13.922,1,0.846
14.575,1.033,0,0.467
28.290,13.518,1,0.883
15.857,4.062,1,0.637
1.953,5.939,1,0.250
28.445,7.279,0,0.464
3.237,13.609,1,0.650
0.222,8.800,1,0.250
2.579,2.473,1,0.465
26.461,5.473,0,0.465
5.377,0.281,1,0.461
16.760,5.434,1,0.464
11.825,7.469,0,0.250
16.450,0.739,1,0.650
3.386,9.866,0,0.427
29.960,8.182,0,0.460
22.772,12.245,1,0.874
11.472,0.725,0,0.459
2.541,14.364,0,0.465
18.737,6.188,1,0.513
15.764,1.580,0,0.466
16.497,2.500,0,0.464
28.278,5.524,1,0.650
26.234,5.513,1,0.650
20.426,1.441,0,0.650
29.030,10.727,1,0.870
19.620,3.575,1,0.811
14.749,4.344,1,0.582
24.478,12.886,0,0.881
10.220,13.256,0,0.600
12.727,10.641,0,0.650
21.190,12.477,1,0.866
26.057,14.248,0,0.883
13.871,12.886,0,0.650
13.160,9.950,0,0.632
28.176,11.818,1,0.881
6.465,14.119,0,0.459
18.954,7.686,1,0.531
22.427,8.297,0,0.460
27.196,14.834,0,0.883
22.089,5.524,1,0.650
4.022,6.489,1,0.250
6.731,1.475,0,0.250
4.117,1.741,1,0.463
18.459,0.711,1,0.686
23.629,12.634,0,0.877
20.476,12.401,0,0.863
5.552,11.986,1,0.650
15.576,7.209,0,0.250
5.870,15.748,0,0.460
17.922,14.641,1,0.865
26.690,0.931,1,0.883
7.315,7.544,1,0.250
16.675,14.435,1,0.873
22.532,14.282,0,0.872
2.258,4.297,1,0.395
8.025,0.665,1,0.456
9.748,4.717,0,0.301
26.169,12.367,1,0.883
0.345,11.089,0,0.464
26.710,7.567,0,0.463
7.318,10.631,0,0.458
20.529,15.155,0,0.863
22.366,6.558,0,0.463
22.253,12.822,0,0.871
26.269,5.425,1,0.650
29.583,6.561,1,0.650
8.025,9.050,1,0.279
16.912,8.915,0,0.250
28.918,7.617,0,0.463
17.532,15.570,0,0.650
3.543,8.947,1,0.250
28.409,14.102,1,0.883
8.833,5.131,0,0.095
7.623,1.883,0,0.250
29.794,7.585,0,0.463
12.956,14.526,1,0.873
27.700,4.612,1,0.734
28.540,1.457,0,0.650
19.435,6.282,1,0.581
10.701,2.792,1,0.633
11.421,7.683,0,0.250
9.881,11.003,0,0.570
22.248,13.965,0,0.871
15.754,2.158,0,0.466
26.342,3.675,1,0.873
4.102,5.405,0,0.085
14.366,4.309,1,0.588
2.971,13.612,0,0.465
12.868,9.565,0,0.500
9.304,3.964,0,0.298
1.672,7.705,0,0.086
22.183,11.089,1,0.871
23.457,5.302,0,0.464
25.216,7.328,1,0.650
2.756,8.235,0,0.089
15.023,7.927,0,0.250
29.365,5.259,0,0.463
20.931,8.969,0,0.456
22.503,3.612,0,0.650
3.737,8.687,0,0.092
11.029,13.482,0,0.650
29.381,2.682,0,0.650
29.458,3.668,0,0.650
12.597,1.150,1,0.650
25.892,7.155,1,0.650
24.709,15.215,1,0.882
27.172,15.437,0,0.883
9.208,7.405,1,0.283
26.281,10.903,1,0.872
18.703,8.916,0,0.306
10.949,13.556,1,0.859
22.005,15.537,0,0.870
14.718,8.310,0,0.250
13.050,0.162,0,0.464
3.839,9.184,1,0.348
4.800,14.676,0,0.462
12.355,10.347,0,0.650
21.676,5.851,1,0.650
11.983,8.711,0,0.250
5.823,9.722,1,0.554
24.939,7.932,1,0.650
10.643,9.856,1,0.763
14.981,13.276,0,0.650
15.321,8.542,0,0.250
13.483,2.122,0,0.465
0.711,13.211,0,0.467
27.942,11.916,1,0.882
18.535,5.972,0,0.292
11.316,3.546,1,0.650
15.541,9.736,1,0.770
2.060,3.524,1,0.465
22.422,0.776,0,0.650
25.110,3.717,1,0.872
27.549,10.522,1,0.868
9.661,6.592,1,0.346
0.761,4.283,0,0.221
13.400,14.385,1,0.875
6.754,10.591,1,0.650
19.830,4.031,0,0.611
20.447,0.610,1,0.862
7.585,4.690,0,0.161
28.536,9.132,0,0.528
14.990,8.450,0,0.250
27.580,3.088,0,0.650
17.101,1.606,0,0.463
4.438,8.109,1,0.250
8.016,0.861,1,0.456
27.190,14.103,0,0.883
13.716,3.141,1,0.650
11.180,5.109,1,0.458
29.811,2.492,0,0.650
10.587,11.475,1,0.836
10.435,0.543,0,0.420
14.386,10.712,0,0.650
8.254,1.517,0,0.250
5.794,2.561,1,0.461
25.506,13.915,1,0.883
12.613,15.293,1,0.871
10.554,12.208,0,0.624
24.565,1.464,1,0.881
3.251,6.245,0,0.083
18.762,5.174,1,0.515
10.268,9.971,1,0.792
5.145,2.303,0,0.250
23.917,13.062,1,0.879
29.406,6.797,0,0.466
0.594,0.727,0,0.250
8.145,7.031,1,0.250
27.187,4.160,0,0.617
29.983,10.730,0,0.870
23.272,0.188,1,0.876
19.445,1.479,1,0.789
27.467,11.848,0,0.882
26.764,0.759,1,0.883
14.123,5.186,1,0.463
23.480,5.194,1,0.650
27.036,4.895,0,0.482
24.288,8.195,0,0.460
26.559,8.798,1,0.650
13.112,13.513,0,0.650
0.800,10.995,0,0.464
13.331,12.168,1,0.875
3.291,11.471,1,0.650
12.770,5.648,0,0.250
28.034,9.542,0,0.701
5.855,4.865,0,0.120
27.125,5.766,0,0.466
14.865,9.158,1,0.541
23.235,7.616,1,0.650
15.775,3.112,0,0.466
7.512,11.006,0,0.457
29.562,1.038,0,0.650
5.394,4.162,1,0.424
21.364,0.713,0,0.650
22.008,0.616,0,0.650
14.736,10.019,1,0.862
29.532,9.657,0,0.742
14.914,12.783,0,0.650
7.892,4.155,0,0.230
29.905,2.133,1,0.883
2.611,6.595,1,0.250
28.555,12.706,1,0.883
28.797,4.956,1,0.660
19.764,1.800,0,0.619
20.804,3.488,0,0.650
2.462,4.134,1,0.430
24.708,2.304,1,0.882
12.878,12.776,1,0.872
13.728,9.812,1,0.797
0.795,7.781,0,0.087
9.482,7.793,0,0.170
28.430,3.436,0,0.650
12.655,3.603,1,0.650
14.423,6.043,0,0.250
1.829,4.611,0,0.171
1.611,8.655,1,0.250
11.873,7.653,0,0.250
22.650,15.339,1,0.873
0.454,12.270,0,0.467
0.298,4.628,0,0.168
20.158,1.228,0,0.650
13.869,7.419,0,0.250
8.800,13.886,0,0.455
4.650,3.554,0,0.250
1.898,14.826,1,0.650
19.320,12.824,0,0.774
5.044,7.213,0,0.087
15.938,7.219,1,0.464
25.336,4.949,1,0.661
12.162,15.634,1,0.869
29.129,9.006,1,0.652
23.547,4.898,0,0.481
18.907,15.645,1,0.858
5.157,11.272,0,0.462
24.521,0.059,1,0.881
23.060,11.240,1,0.875
22.211,7.319,0,0.463
3.746,14.233,0,0.464
12.065,0.718,1,0.650
5.656,5.049,1,0.250
16.926,15.071,1,0.871
13.700,7.448,0,0.250
28.934,7.420,1,0.650
27.736,10.307,0,0.865
17.403,8.720,0,0.250
25.363,11.870,0,0.882
24.812,15.654,0,0.882
11.498,5.936,1,0.459
12.757,5.162,0,0.250
3.423,11.459,1,0.650
10.547,1.792,0,0.428
4.814,7.508,0,0.086
0.547,15.586,1,0.650
25.956,13.920,1,0.883
12.756,7.813,0,0.250
3.549,8.258,1,0.250
